FlSort,FlCde,Fleet,Flotte,Year/An,TFCde,TypeFishery,TypePêcherie,GrSort,GrCde,Gear,Engin,GrGroup,GrGroupe,GrMult,ClassLow,ClassHigh,ClassTypeCode,CLass type,noBoats_nBateaux,Fgrounds
43,"SYC    ",SEYCHELLES,SEYCHELLES,1997,IND,Industrial Fishing,Pêcheries industrielles,5,ELL,Longline targeting swordfish,Palangre à espadon,Longline,Palangre,0,15,24,LOA,Length overall,4,PELAGIC
44,"ZAF    ",SOUTH AFRICA,AFRIQUE DU SUD,1997,IND,Industrial Fishing,Pêcheries industrielles,5,ELL,Longline targeting swordfish,Palangre à espadon,Longline,Palangre,0,24,40,LOA,Length overall,1,PELAGIC
5,"CHN    ",CHINA,CHINE,1997,IND,Industrial Fishing,Pêcheries industrielles,5,FLL,Longline Fresh,Palangre Frais,Longline,Palangre,0,24,40,LOA,Length overall,89,PELAGIC
6,"TWN    ","TAIWAN,CHINA","TAIWAN,CHINE",1997,IND,Industrial Fishing,Pêcheries industrielles,5,FLL,Longline Fresh,Palangre Frais,Longline,Palangre,0,15,24,LOA,Length overall,281,PELAGIC
6,"TWN    ","TAIWAN,CHINA","TAIWAN,CHINE",1997,IND,Industrial Fishing,Pêcheries industrielles,5,FLL,Longline Fresh,Palangre Frais,Longline,Palangre,0,24,40,LOA,Length overall,149,PELAGIC
23,"IDN    ",INDONESIA,INDONÉSIE,1997,IND,Industrial Fishing,Pêcheries industrielles,5,FLL,Longline Fresh,Palangre Frais,Longline,Palangre,0,0,15,LOA,Length overall,43,PELAGIC
23,"IDN    ",INDONESIA,INDONÉSIE,1997,IND,Industrial Fishing,Pêcheries industrielles,5,FLL,Longline Fresh,Palangre Frais,Longline,Palangre,0,15,24,LOA,Length overall,689,PELAGIC
23,"IDN    ",INDONESIA,INDONÉSIE,1997,IND,Industrial Fishing,Pêcheries industrielles,5,FLL,Longline Fresh,Palangre Frais,Longline,Palangre,0,24,40,LOA,Length overall,129,PELAGIC
46,"LKA    ",SRI LANKA,SRI LANKA,1997,ART,Artisanal Fishing,Pêcheries artisanales,4,G/L,Gillnet and Longline combination,Filet maillant et Palangre,Gillnet,Filet maillant,1,9,18,LOA,Length overall,1764,PELAGIC
37,"OMN    ",OMAN,OMAN,1997,ART,Artisanal Fishing,Pêcheries artisanales,4,GIHA,Gillnet and hand line,Filet maillant et Ligne à main,Gillnet,Filet maillant,1,1,10,LOA,Length overall,11226,COASTAL
54,"YEM    ",YEMEN,YÉMEN,1997,ART,Artisanal Fishing,Pêcheries artisanales,4,GIHT,Gillnet and hand line and troll line,Filet maillant et ligne à main et ligne de traîne,Gillnet,Filet maillant,1,5,26,LOA,Length overall,8030,COASTAL
1,"AUS    ",AUSTRALIA,AUSTRALIE,1997,ART,Artisanal Fishing,Pêcheries artisanales,4,GILL,Gillnet,Filet maillant,Gillnet,Filet maillant,0,4,20,LOA,Length overall,11,COASTAL
